date,strategy,qqq_bh,tqqq_bh,spy_bh,gld_bh,blend_6040,spxl_strategy,spxl_bh
2010-07-16,52641.27691032223,61539.12999859072,58636.6589941433,60211.27418851695,65690.90184734449,61637.65679609068,47198.252188426726,55440.04924841275
2010-07-19,54348.79521570125,62566.53344536752,60459.145489421986,61066.93414741764,65661.63890141164,62327.333292244075,48633.235079586906,56973.89077559271
2010-07-20,55959.230970218836,63322.021710281326,62369.20582099647,61744.23930543011,66183.61752240015,62714.549991247804,50286.883072772725,58929.519421523684
2010-07-21,54020.53701536499,62454.62763431713,60185.13674365943,60941.70784165694,65729.72043451588,62345.526403016745,48234.279540783085,56608.847957196274
2010-07-22,57405.549135984285,64035.532279474064,64243.00615940624,62302.03936135317,66302.764534016,63137.79100178795,51466.74579539946,60389.70718918777
2010-07-23,58753.037575689574,64441.28196057196,65915.30472175257,62842.76808374094,65865.88782940779,63416.73926198381,52893.645837884265,62110.66633547523
2010-07-26,60709.45577691852,65472.946352488834,67863.96455875626,63997.31530860131,66042.48756111236,64304.70255016732,55159.52067086383,64657.552593365624
2010-07-27,60994.91916885343,65444.719114263746,67849.47005249847,63991.55486693401,64893.37882606131,64291.5870817438,55123.010671284814,64394.77803090302
2010-07-28,60005.54064766255,64923.08617135405,66462.54774759356,63578.535268318294,65047.73521854243,64092.016375669424,54185.64644532965,63107.13987158489
2010-07-29,59211.172797731764,64443.72927362338,64879.608663851446,63268.75022470884,65339.30213956833,63930.26876889447,53661.860468702645,62147.9771877421
2010-07-30,59640.344012351125,64584.7358404316,65322.678969133216,63257.281656182524,66025.33733547061,63966.783168524606,53815.602159927555,62279.37070245661
2010-08-02,64055.920363578334,66297.17997800547,69337.09406227403,65185.68518146516,66553.92395267713,65288.5354895765,58408.93275813134,66760.50942293464
2010-08-03,63983.18767790906,66013.09842951338,68620.33959834569,64873.50559690943,66813.13342502379,65118.27824898892,57804.17728949438,65820.61272180412
2010-08-04,67902.67371911366,66680.71743423768,70602.3664161712,65307.09746519478,67233.63357663863,65332.12967648145,60525.16674269846,67237.09209708
2010-08-05,67516.31279402738,66524.47133866849,70185.57242297872,65237.71315966203,67383.4012957411,65322.186397878075,60373.47790883194,67051.74555121629
2010-08-06,67558.12451178933,66425.04030889917,69856.40797445967,64971.81516210624,67878.7787148247,65213.819535590184,59785.581624371785,66217.73843250368
2010-08-09,69536.96761986217,67379.6105912398,71577.8677574356,65818.64882446118,68125.33072256087,65921.91973300316,61483.36284275713,67843.00680158153
2010-08-10,68451.70190911628,66792.82565679992,70060.46080596757,65463.31672481598,68316.82547202811,65752.91866052765,60493.40825990802,66509.3486684096
2010-08-11,61799.320441797456,64975.26236137771,64293.453345875976,63669.13162519713,68090.5106780665,64700.96378111954,54536.22065445837,60974.68112457481
2010-08-12,59951.9274484336,64460.009973032335,62481.32265149959,63278.862470771186,68920.31683187636,64425.062656530834,53614.04654098845,59947.76752560829
2010-08-13,58648.40969288492,64002.0600666451,61236.576839968555,63092.46658414833,68902.90902323659,64374.612638122984,52969.919248033904,59280.94900427521
2010-08-16,60400.561873924686,64616.55224273469,62082.75486492727,63563.36122562091,69977.39327163828,64945.56342168266,54408.3822635488,59807.611621685755
2010-08-17,62939.49598701748,65438.64525246363,64444.22702911764,64344.25177116756,69989.08050889493,65381.91108443115,56827.149227231406,62067.03796956517
2010-08-18,63590.94341602209,65698.28049254694,65023.31664331489,64461.6616991437,70263.77740472014,65422.682925205554,57396.442466216926,62510.85234016207
2010-08-19,60848.86802508933,64703.065748490284,62632.20969461336,63340.237742529105,70363.13452816631,64836.421214495,53810.08456080285,59296.55961002169
